Datum,Klaerwerk_id,Proben_id,Virusisolate,Virus_typ
2021-W19,Klaerwerk_1,21-0110,0,NA
2021-W19,Klaerwerk_2,21-0111,0,NA
2021-W20,Klaerwerk_1,21-0112,0,NA
2021-W20,Klaerwerk_2,21-0113,0,NA
2021-W22,Klaerwerk_1,21-0124,0,NA
2021-W22,Klaerwerk_2,21-0125,0,NA
2021-W23,Klaerwerk_1,21-0126,0,NA
2021-W23,Klaerwerk_2,21-0127,0,NA
2021-W24,Klaerwerk_1,21-0137,0,NA
2021-W24,Klaerwerk_2,21-0138,0,NA
2021-W25,Klaerwerk_1,21-0139,0,NA
2021-W25,Klaerwerk_2,21-0140,0,NA
2021-W26,Klaerwerk_1,21-0155,0,NA
2021-W26,Klaerwerk_2,21-0156,0,NA
2021-W27,Klaerwerk_1,21-0157,0,NA
2021-W27,Klaerwerk_2,21-0158,0,NA
2021-W28,Klaerwerk_1,21-0159,0,NA
2021-W28,Klaerwerk_2,21-0160,0,NA
2021-W30,Klaerwerk_1,21-0168,0,NA
2021-W30,Klaerwerk_2,21-0169,0,NA
2021-W31,Klaerwerk_1,21-0172,0,NA
2021-W31,Klaerwerk_2,21-0173,0,NA
2021-W32,Klaerwerk_1,21-0177,0,NA
2021-W32,Klaerwerk_2,21-0178,0,NA
2021-W33,Klaerwerk_1,21-0182,0,NA
2021-W33,Klaerwerk_2,21-0183,0,NA
2021-W34,Klaerwerk_1,21-0190,0,NA
2021-W34,Klaerwerk_2,21-0191,0,NA
2021-W35,Klaerwerk_1,21-0208,0,NA
2021-W35,Klaerwerk_2,21-0209,0,NA
2021-W36,Klaerwerk_1,21-0215,0,NA
2021-W36,Klaerwerk_2,21-0216,0,NA
2021-W37,Klaerwerk_2,21-0223,0,NA
2021-W37,Klaerwerk_1,21-0222,1,Sabin_1-like
2021-W38,Klaerwerk_1,21-0232,0,NA
2021-W38,Klaerwerk_2,21-0233,0,NA
2021-W39,Klaerwerk_1,21-0241,0,NA
2021-W39,Klaerwerk_2,21-0242,0,NA
2021-W40,Klaerwerk_1,21-0244,0,NA
2021-W40,Klaerwerk_2,21-0245,0,NA
2021-W41,Klaerwerk_1,21-0271,0,NA
2021-W41,Klaerwerk_2,21-0272,0,NA
2021-W42,Klaerwerk_1,21-0305,0,NA
2021-W42,Klaerwerk_2,21-0306,0,NA
2021-W43,Klaerwerk_1,21-0307,0,NA
2021-W43,Klaerwerk_2,21-0308,0,NA
2021-W44,Klaerwerk_1,21-0340,0,NA
2021-W44,Klaerwerk_2,21-0341,0,NA
2021-W45,Klaerwerk_1,21-0359,0,NA
2021-W45,Klaerwerk_2,21-0360,0,NA
2021-W46,Klaerwerk_1,21-0369,0,NA
2021-W46,Klaerwerk_2,21-0370,0,NA
2021-W47,Klaerwerk_1,21-0375,0,NA
2021-W47,Klaerwerk_2,21-0376,0,NA
